journey_id,anonymous_visitor_id,prospect_id,primary_campaign_id,primary_channel_id,first_device_id,attribution_model,journey_start_ts,journey_end_ts,current_stage_id,is_closed
JR0000001,AV000000001,PR000001,CP011,CH004,DV003,position_based,2025-02-14 05:32:26,2025-02-14 07:01:26,ST01,1
JR0000002,AV000000002,PR000002,CP007,CH003,DV001,last_non_direct,2025-11-11 03:36:53,2025-11-11 04:00:53,ST01,1
JR0000003,AV000000003,PR000003,CP002,CH001,DV003,first_touch,2025-06-30 22:45:39,2025-07-01 00:02:39,ST01,1
JR0000004,AV000000004,PR000004,CP007,CH003,DV001,last_non_direct,2025-04-14 18:52:15,2025-04-14 19:41:15,ST02,1
JR0000005,AV000000005,PR000005,CP002,CH001,DV003,position_based,2025-07-03 21:25:37,2025-07-03 22:52:37,ST02,1
JR0000006,AV000000006,PR000006,CP004,CH001,DV001,first_touch,2025-04-05 19:41:59,2025-04-05 20:16:59,ST01,1
JR0000007,AV000000007,PR000007,CP007,CH003,DV003,last_non_direct,2025-04-05 21:51:51,2025-04-05 23:43:51,ST02,1
JR0000008,AV000000008,PR000008,CP016,CH007,DV002,position_based,2025-10-31 17:32:20,2025-10-31 19:39:20,ST02,1
JR0000009,AV000000009,PR000009,CP002,CH001,DV001,last_non_direct,2025-08-08 10:28:22,2025-08-08 12:33:22,ST02,1
JR0000010,AV000000010,PR000010,CP005,CH002,DV001,last_non_direct,2025-07-18 08:16:10,2025-07-18 09:27:10,ST02,1
JR0000011,AV000000011,PR000011,CP006,CH002,DV001,position_based,2025-02-18 11:16:58,2025-02-18 13:31:58,ST02,1
JR0000012,AV000000012,PR000012,CP001,CH001,DV002,last_non_direct,2025-08-02 09:46:47,2025-08-02 11:26:47,ST02,1
JR0000013,AV000000013,PR000013,CP012,CH005,DV002,position_based,2025-04-05 23:22:53,2025-04-06 01:25:53,ST02,1
JR0000014,AV000000014,PR000014,CP002,CH001,DV001,last_non_direct,2025-02-14 21:58:09,2025-02-14 22:40:09,ST02,1
JR0000015,AV000000015,PR000015,CP005,CH002,DV001,first_touch,2025-05-03 05:12:30,2025-05-03 05:45:30,ST02,1
JR0000016,AV000000016,PR000016,CP005,CH002,DV002,first_touch,2025-04-04 10:39:30,2025-04-04 12:05:30,ST02,1
JR0000017,AV000000017,PR000017,CP011,CH004,DV001,last_non_direct,2025-07-31 05:10:16,2025-07-31 07:54:16,ST03,1
JR0000018,AV000000018,PR000018,CP015,CH006,DV002,last_non_direct,2025-05-10 02:43:33,2025-05-10 03:39:33,ST02,1
JR0000019,AV000000019,PR000019,CP002,CH001,DV006,last_non_direct,2025-09-10 14:23:18,2025-09-10 15:19:18,ST03,1
JR0000020,AV000000020,PR000020,CP002,CH001,DV001,first_touch,2025-04-09 00:21:56,2025-04-09 01:34:56,ST01,1
JR0000021,AV000000021,PR000021,CP006,CH002,DV002,last_non_direct,2025-06-13 01:37:27,2025-06-13 03:20:27,ST02,1
JR0000022,AV000000022,PR000022,CP007,CH003,DV003,last_non_direct,2025-09-19 03:27:52,2025-09-19 04:38:52,ST02,1
JR0000023,AV000000023,PR000023,CP001,CH001,DV001,last_non_direct,2025-11-15 12:43:45,2025-11-15 14:26:45,ST01,1
JR0000024,AV000000024,PR000024,CP007,CH003,DV005,first_touch,2025-12-29 03:27:39,2025-12-29 04:38:39,ST02,1
JR0000025,AV000000025,PR000025,CP003,CH001,DV005,last_non_direct,2025-05-25 05:48:39,2025-05-25 07:18:39,ST02,1
JR0000026,AV000000026,PR000026,CP001,CH001,DV002,position_based,2025-11-02 05:12:08,2025-11-02 06:03:08,ST02,1
JR0000027,AV000000027,PR000027,CP009,CH003,DV006,first_touch,2025-07-31 22:57:17,2025-08-01 00:14:17,ST01,1
JR0000028,AV000000028,PR000028,CP001,CH001,DV004,last_non_direct,2025-06-16 15:53:49,2025-06-16 17:36:49,ST01,1
JR0000029,AV000000029,PR000029,CP001,CH001,DV003,last_non_direct,2025-08-28 02:17:01,2025-08-28 04:06:01,ST02,1
JR0000030,AV000000030,PR000030,CP004,CH001,DV006,position_based,2025-09-24 19:28:56,2025-09-24 21:05:56,ST02,1
JR0000031,AV000000031,PR000031,CP016,CH007,DV001,position_based,2025-06-24 17:54:51,2025-06-24 19:49:51,ST01,1
JR0000032,AV000000032,PR000032,CP005,CH002,DV008,last_non_direct,2025-07-03 14:49:04,2025-07-03 16:11:04,ST01,1
JR0000033,AV000000033,PR000033,CP017,CH007,DV001,last_non_direct,2025-02-15 21:36:02,2025-02-15 22:20:02,ST02,1
