lead_id,journey_id,prospect_id,session_id,lead_created_ts,lead_source_type,form_name,product_interest,lead_status,lead_score,qualification_status,qualification_reason,response_time_minutes,is_duplicate,is_contactable
LD00000001,JR0000017,PR000017,SS00000019,2025-07-31 07:03:16,landing_form,lead_form_short,Ahorro voluntario,lost,67.97,unqualified,Duplicado operacional,349,0,1
LD00000002,JR0000019,PR000019,SS00000023,2025-09-10 15:11:18,web_form,simulator_capture,Simulador de retiro,lost,76.53,unqualified,Baja intención declarada,175,0,1
LD00000003,JR0000042,PR000041,SS00000053,2025-02-18 02:44:04,web_form,simulator_capture,Simulador de retiro,nurtured,77.17,qualified,Cumple score e intención mínima,155,0,1
LD00000004,JR0000048,PR000046,SS00000064,2025-10-12 05:10:14,web_form,lead_form_short,Cambio / registro Afore,lost,78.24,unqualified,Duplicado operacional,290,0,1
LD00000005,JR0000049,PR000047,SS00000066,2025-09-28 13:37:23,lead_ad,lead_form_main,Cambio / registro Afore,lost,61.58,unqualified,Baja intención declarada,125,0,1
LD00000006,JR0000050,PR000047,SS00000067,2025-12-01 01:02:04,landing_form,lead_form_short,Cambio / registro Afore,converted_to_registration,83.8,qualified,Cumple score e intención mínima,137,1,1
LD00000007,JR0000067,PR000061,SS00000092,2025-08-08 18:37:57,email_click,lead_form_main,Cambio / registro Afore,converted_to_registration,77.46,qualified,Cumple score e intención mínima,141,0,1
LD00000008,JR0000071,PR000065,SS00000098,2025-10-21 03:20:08,web_form,lead_form_short,Ahorro voluntario,converted_to_registration,95.54,qualified,Cumple score e intención mínima,108,0,1
LD00000009,JR0000074,PR000068,SS00000103,2025-05-10 21:24:29,web_form,simulator_capture,Ahorro voluntario,lost,50.3,unqualified,Perfil no objetivo,195,0,1
LD00000010,JR0000075,PR000069,SS00000104,2025-03-18 00:25:08,web_form,lead_form_short,Simulador de retiro,nurtured,55.36,qualified,Cumple score e intención mínima,199,0,1
LD00000011,JR0000078,PR000072,SS00000107,2025-06-14 04:49:23,web_form,contact_request,Ahorro voluntario,lost,100.0,unqualified,Duplicado operacional,87,0,1
LD00000012,JR0000079,PR000072,SS00000108,2025-07-04 15:02:23,web_form,lead_form_main,Ahorro voluntario,converted_to_registration,97.85,qualified,Cumple score e intención mínima,112,1,1
LD00000013,JR0000082,PR000075,SS00000114,2025-01-27 08:47:56,web_form,contact_request,Ahorro voluntario,converted_to_registration,44.81,qualified,Cumple score e intención mínima,144,0,1
LD00000014,JR0000095,PR000086,SS00000133,2025-07-13 16:38:02,email_click,lead_form_main,Ahorro voluntario,lost,73.46,unqualified,Baja intención declarada,51,0,1
LD00000015,JR0000096,PR000087,SS00000135,2025-11-17 05:36:01,email_click,contact_request,Ahorro voluntario,nurtured,74.83,qualified,Cumple score e intención mínima,93,0,1
LD00000016,JR0000097,PR000088,SS00000137,2025-03-30 16:28:31,web_form,simulator_capture,Ahorro voluntario,nurtured,77.64,qualified,Cumple score e intención mínima,164,0,1
LD00000017,JR0000101,PR000092,SS00000145,2025-06-25 22:27:31,web_form,lead_form_short,Ahorro voluntario,lost,50.66,unqualified,Baja intención declarada,119,0,1
LD00000018,JR0000120,PR000108,SS00000169,2025-06-25 04:46:42,lead_ad,simulator_capture,Ahorro voluntario,converted_to_registration,87.65,qualified,Cumple score e intención mínima,142,0,1
LD00000019,JR0000130,PR000117,SS00000185,2025-04-28 08:49:14,web_form,lead_form_short,Simulador de retiro,converted_to_registration,58.99,qualified,Cumple score e intención mínima,217,0,1
LD00000020,JR0000131,PR000118,SS00000188,2025-06-10 22:19:19,email_click,lead_form_short,Ahorro voluntario,converted_to_registration,87.27,qualified,Cumple score e intención mínima,73,0,1
LD00000021,JR0000133,PR000120,SS00000192,2025-03-01 04:42:05,web_form,simulator_capture,Ahorro voluntario,lost,48.39,unqualified,Duplicado operacional,155,0,1
LD00000022,JR0000134,PR000121,SS00000194,2025-03-17 04:26:31,lead_ad,contact_request,Aportaciones complementarias,converted_to_registration,87.64,qualified,Cumple score e intención mínima,105,0,1
LD00000023,JR0000146,PR000133,SS00000212,2025-09-07 20:49:36,web_form,contact_request,Ahorro voluntario,converted_to_registration,72.43,qualified,Cumple score e intención mínima,88,0,1
LD00000024,JR0000147,PR000134,SS00000216,2025-10-08 09:47:40,web_form,lead_form_main,Simulador de retiro,converted_to_registration,30.27,qualified,Cumple score e intención mínima,192,0,1
LD00000025,JR0000150,PR000136,SS00000222,2025-04-13 16:21:45,lead_ad,simulator_capture,Ahorro voluntario,converted_to_registration,83.13,qualified,Cumple score e intención mínima,168,0,1
