registration_id,journey_id,prospect_id,lead_id,registration_started_ts,registration_completed_ts,registration_status,step_reached,document_upload_flag,kyc_validation_flag,biometric_validation_flag,rejection_reason,abandonment_reason
RG00000001,JR0000050,PR000047,LD00000006,2025-12-01 17:03:04,2025-12-02 20:02:04,completed,confirmation,1,1,1,,
RG00000002,JR0000067,PR000061,LD00000007,2025-08-09 16:04:57,,abandoned,documents,1,1,0,,Carga documental incompleta
RG00000003,JR0000071,PR000065,LD00000008,2025-10-21 16:08:08,2025-10-21 21:29:08,completed,confirmation,1,1,1,,
RG00000004,JR0000079,PR000072,LD00000012,2025-07-05 04:09:23,2025-07-06 21:32:23,completed,confirmation,1,1,1,,
RG00000005,JR0000082,PR000075,LD00000013,2025-01-27 13:15:56,,abandoned,biometric,0,0,0,,Biometría no exitosa
RG00000006,JR0000120,PR000108,LD00000018,2025-06-26 17:02:42,,abandoned,kyc,1,1,1,,Usuario salió del flujo
RG00000007,JR0000130,PR000117,LD00000019,2025-04-28 14:43:14,,abandoned,biometric,1,1,1,Validación KYC fallida,Validación KYC fallida
RG00000008,JR0000131,PR000118,LD00000020,2025-06-17 08:20:19,,abandoned,personal_data,0,0,0,Validación KYC fallida,Validación KYC fallida
RG00000009,JR0000134,PR000121,LD00000022,2025-03-18 10:28:31,2025-03-20 04:43:31,completed,confirmation,1,1,1,,
RG00000010,JR0000146,PR000133,LD00000023,2025-09-08 06:41:36,,abandoned,documents,1,1,0,Validación KYC fallida,Validación KYC fallida
RG00000011,JR0000147,PR000134,LD00000024,2025-10-08 15:26:40,,abandoned,kyc,0,0,0,,Usuario salió del flujo
RG00000012,JR0000150,PR000136,LD00000025,2025-04-14 16:42:45,,abandoned,biometric,1,1,0,,Tiempo de espera alto
RG00000013,JR0000156,PR000141,LD00000027,2025-10-10 10:14:31,,abandoned,biometric,0,0,0,,Usuario salió del flujo
RG00000014,JR0000160,PR000145,LD00000028,2025-09-13 17:59:09,2025-09-23 04:27:09,completed,confirmation,1,1,1,,
RG00000015,JR0000170,PR000153,LD00000030,2025-10-23 20:56:36,,abandoned,biometric,1,1,0,,Carga documental incompleta
RG00000016,JR0000197,PR000173,LD00000031,2025-09-07 20:16:58,2025-09-08 19:01:58,completed,confirmation,1,1,1,,
RG00000017,JR0000205,PR000181,LD00000033,2025-04-22 14:36:22,2025-04-22 23:44:22,completed,confirmation,1,1,1,,
RG00000018,JR0000211,PR000187,LD00000035,2025-03-24 06:11:50,,abandoned,personal_data,1,1,1,,Carga documental incompleta
RG00000019,JR0000226,PR000200,LD00000040,2025-03-08 04:38:05,2025-03-08 15:27:05,completed,confirmation,1,1,1,,
RG00000020,JR0000229,PR000203,LD00000041,2025-05-06 12:07:54,,abandoned,kyc,0,0,0,,Usuario salió del flujo
RG00000021,JR0000257,PR000230,LD00000043,2025-06-20 21:29:09,,abandoned,documents,1,1,0,,Carga documental incompleta
RG00000022,JR0000267,PR000240,LD00000044,2025-10-08 13:23:39,2025-10-08 15:43:39,completed,confirmation,1,1,1,,
RG00000023,JR0000269,PR000242,LD00000045,2025-04-13 04:45:05,2025-04-13 19:04:05,completed,confirmation,1,1,1,,
RG00000024,JR0000291,PR000259,LD00000048,2025-10-31 18:50:05,,abandoned,documents,0,0,0,,Tiempo de espera alto
RG00000025,JR0000304,PR000270,LD00000050,2025-03-15 08:42:57,,abandoned,documents,1,1,1,,Tiempo de espera alto
RG00000026,JR0000311,PR000277,LD00000051,2025-08-23 19:32:11,2025-08-23 21:38:11,completed,confirmation,1,1,1,,
RG00000027,JR0000324,PR000287,LD00000052,2025-05-29 11:10:24,,abandoned,documents,1,0,0,,Biometría no exitosa
RG00000028,JR0000339,PR000299,LD00000053,2025-01-09 22:15:29,2025-01-15 12:07:29,completed,confirmation,1,1,1,,
